method,score,threshold,coverage,selective_accuracy,selective_macro_f1
embedding_distance,embedding_distance,6.035790857560801,0.6168831168831169,0.5263157894736842,0.4225352112676056
embedding_distance,embedding_distance,6.11546188244476,0.6233766233766234,0.53125,0.4225352112676056
embedding_distance,embedding_distance,6.213830162475405,0.6298701298701299,0.5360824742268041,0.4225352112676056
embedding_distance,embedding_distance,6.611320553796894,0.6363636363636364,0.5306122448979592,0.3856143856143856
embedding_distance,embedding_distance,6.729402313110058,0.6428571428571429,0.5252525252525253,0.3576388888888889
embedding_distance,embedding_distance,6.731547144691997,0.6493506493506493,0.52,0.33563218390804594
embedding_distance,embedding_distance,6.759578133852024,0.6558441558441559,0.5148514851485149,0.33563218390804594
embedding_distance,embedding_distance,6.999489228224899,0.6623376623376623,0.5098039215686274,0.33563218390804594
embedding_distance,embedding_distance,7.020311292826796,0.6688311688311688,0.5048543689320388,0.3344748858447488
embedding_distance,embedding_distance,7.164023818058221,0.6753246753246753,0.5,0.31666666666666665
embedding_distance,embedding_distance,7.210982294087882,0.6818181818181818,0.49523809523809526,0.31666666666666665
embedding_distance,embedding_distance,7.259170146581399,0.6883116883116883,0.49056603773584906,0.31666666666666665
embedding_distance,embedding_distance,7.345269259554176,0.6948051948051948,0.48598130841121495,0.31554054054054054
embedding_distance,embedding_distance,7.533250951907963,0.7012987012987013,0.48148148148148145,0.3144295302013423
embedding_distance,embedding_distance,7.700346696647629,0.7077922077922078,0.47706422018348627,0.31333333333333335
embedding_distance,embedding_distance,7.953019549869754,0.7142857142857143,0.4727272727272727,0.31333333333333335
embedding_distance,embedding_distance,8.233869844487135,0.7207792207792207,0.46846846846846846,0.31225165562913904
embedding_distance,embedding_distance,8.46911396041955,0.7272727272727273,0.4642857142857143,0.3111842105263158
embedding_distance,embedding_distance,8.490849383836595,0.7337662337662337,0.46017699115044247,0.3111842105263158
embedding_distance,embedding_distance,8.579008099777257,0.7402597402597403,0.4649122807017544,0.31995614035087716
embedding_distance,embedding_distance,8.791377211194673,0.7467532467532467,0.4608695652173913,0.3187514086094208
